X,Y,OBJECTID,DATEREPORTED,INFORELIABILITY,INCIDENTREGION,DEAD,MISSING,NATIONALITIES,ORIGINREGION,MIGRANTROUTE,LOCATIONDESCRIPTION,NOFEMALE,NOMALE,NOCHILDREN,AGERANGE,SOURCE,URL,COMMENT,PUBLICVIEW,Cause_of_death,Number_of_survivors,type_location
-111.541855957,32.090962587,362,2014/04/27 00:00:00+00,Verified,U.S./Mexico Border,1,,Mexico,Central America,,Pima County,,1,,24,PCOME,,,Yes,Hyperthermia,,
-111.638962158,32.1246876810001,363,2014/04/23 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Shot by border guards,,
107.493,21.5928,364,2014/04/21 00:00:00+00,Verified,Southeast Asia,5,,China (ethnic Uighur),East Asia,,Border between China andVietnam,,,,,New York Times,http://nyti.ms/1kzuP6j,,Yes,Shot,,
-111.996,32.2119,365,2014/04/18 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.82,32.1991,366,2014/04/17 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
26.6308882810001,38.6692082700001,367,2014/04/16 00:00:00+00,Verified,Mediterranean,8,1,Syrian Arab Republic,MENA,Apulia and Calabria,off the Menderes district of Turkey's western Izmir province,2,7,,,World Bulletin,http://bit.ly/1qfNEkE,,Yes,Drowning,,
-111.494482666,32.1165022340001,368,2014/04/14 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown,,
-111.566602539,32.1956352400001,369,2014/04/14 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.408044189,32.1747248140001,370,2014/04/14 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
21.8569,23.3112,371,2014/04/14 00:00:00+00,Verified,North Africa,10,,"Sudan (6), Ethiopia (2), Eritrea (1), Unknown (1)",Horn of Africa,,Sudan-Libya desert,,,,,Agence France Presse,http://bit.ly/1pGZbvJ,,Yes,"Hyperthermia, Abandoned by smugglers in the desert",,
-111.633,32.0397,372,2014/04/10 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.787,31.9967,373,2014/04/10 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
32.4884,-23.8148,374,2014/04/09 00:00:00+00,Verified,Sub-Saharan Africa,17,,Zimbabwe,Sub-Saharan Africa,,Limpopo River,,,,,AllAfrica,http://bit.ly/1z57Bim,,Yes,Drowning,,
15.8862,34.5645,375,2014/04/09 00:00:00+00,Verified,Mediterranean,1,,Unknown,Unknown,Central Mediterranean,Italian waters,,,,,Deutsche Welle,http://bit.ly/1okLaA1,,Yes,Unknown,661,
-111.366098877,32.076963646,376,2014/04/02 00:00:00+00,Verified,U.S./Mexico Border,1,,Mexico,Central America,,Pima County,,1,,50,PCOME,,,Yes,Unknown (skeletal remains),,
-111.816,32.1317,377,2014/03/30 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.908,32.0444,378,2014/03/30 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.589482666,32.1711748920001,379,2014/03/30 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Blunt force injury,,
-110.964,34.1014,380,2014/03/30 00:00:00+00,Verified,U.S./Mexico Border,1,,El Salvador,Central America,,US - Arizona,,1,,,Nogales International and PCOME,http://bit.ly/1grVlvz,,Yes,Head injury after fall from border fence,,
-111.728,32.0339,381,2014/03/26 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.901,32.084,382,2014/03/26 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.440711914,32.1630888450001,383,2014/03/23 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,1,,,PCOME,,,Yes,Unknown (skeletal remains),,
30.8881,1.63236,384,2014/03/22 00:00:00+00,Verified,Sub-Saharan Africa,251,,Democratic Republic of the Congo,Sub-Saharan Africa,,"Lake Albert, Uganda/DRC",,,,,BBC (UNHCR),http://bbc.in/1iRb5A9,,Yes,Drowning,,
26.4935355470001,39.398814063,385,2014/03/18 00:00:00+00,Verified,Mediterranean,7,2,Syria,MENA,Eastern Mediterranean,"near Lesvos, Greece",1,1,,1 4y.o. girl,Guardian,http://bit.ly/1qfMlCm,,Yes,Drowning,,
12.6563,34.9797,386,2014/03/17 00:00:00+00,Verified,Mediterranean,1,,'African',Unknown,Central Mediterranean,Mediterranean,,,,,Global post,http://bit.ly/1lOxCNv,,Yes,Toxic fumes/asphyxiation,,
1.87368,50.9688,387,2014/03/15 00:00:00+00,Verified,Europe,1,,Ethiopia,Horn of Africa,Calais to UK,"Calais, France",,1,,20s,Daily Mail UK,http://dailym.ai/1iYPbax,,Yes,Vehicle accident,,
-111.479725586,32.1813136430001,388,2014/03/15 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
-111.493458496,32.0510421450001,389,2014/03/15 00:00:00+00,Verified,U.S./Mexico Border,1,,Unknown,Central America,,Pima County,,,,,PCOME,,,Yes,Unknown (skeletal remains),,
1.84866316900008,50.9502730460001,390,2014/03/14 00:00:00+00,Verified,Europe,1,,Ethiopia,Horn of Africa,,"Calais, France",,1,,25,Daily Mail UK,http://dailym.ai/1iYPbax,,Yes,Unknown,,
1.8675,50.9686,391,2014/03/12 00:00:00+00,Verified,Europe,1,,Ethiopia,Horn of Africa,Calais to UK,"Calais, France",,1,,,Daily Mail UK,http://dailym.ai/1iYPbax,,Yes,Vehicle accident,,
47.9224,12.5331,392,2014/03/11 00:00:00+00,Verified,Horn of Africa,,44,Somalia,Horn of Africa,,Gulf of Aden,,,,,UNHCR,http://bit.ly/1gmKS4K,,Yes,Drowning,,
-106.425,31.6904,393,2014/03/11 00:00:00+00,Verified,U.S./Mexico Border,1,,Ecuador,South America,,Mexico,1,,1,12,New York Times,http://nyti.ms/1k00Xlq,,Yes,Found hanged - investigation pending,,
1.85566,50.9365,394,2014/03/09 00:00:00+00,Verified,Europe,1,,Albania,Southern Europe,Calais to UK,France - Calais,,1,,,Daily Mail UK,http://dailym.ai/1iYPbax,,Yes,Hit by vehicle,,
